JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
65,72,71,78,83,87,88,88,86,82,76,73
62,70,70,76,82,86,87,88,87,81,75,71
64,72,71,78,83,86,88,88,86,81,76,73
63,71,71,77,84,87,87,88,85,80,78,71
62,70,69,76,82,86,87,87,85,80,75,71
63,71,70,77,83,86,88,88,87,81,76,71
63,69,69,76,82,86,87,87,85,80,75,71
63,71,71,77,83,86,88,88,86,81,76,72
63,71,72,78,84,86,88,88,85,80,74,70
62,71,70,78,84,87,89,88,86,80,76,72
62,69,71,77,84,87,88,87,85,79,74,69
65,69,70,77,85,87,89,88,87,81,74,72
62,70,70,77,83,86,88,88,86,80,75,72
62,69,68,77,83,87,88,88,86,79,75,70
63,70,70,76,83,86,88,88,86,81,75,70
63,69,70,77,84,87,88,88,86,81,74,71
63,71,71,78,83,86,87,86,84,79,75,70
64,70,72,78,81,84,85,85,84,79,73,67
63,70,71,76,82,85,86,86,85,78,73,70
63,70,70,76,82,85,87,86,86,79,74,71
62,70,70,76,83,85,88,87,86,80,75,71
61,69,70,76,83,86,86,86,84,78,71,69
63,71,71,78,85,90,89,89,87,81,77,72
62,70,70,76,83,86,88,87,86,80,75,71
62,70,71,77,82,85,87,86,84,79,74,70
69,70,75,78,82,85,87,87,86,82,76,72
66,66,71,77,82,86,87,87,86,81,73,68
62,64,68,74,80,84,86,86,84,78,70,64
58,60,66,73,80,84,86,86,83,76,66,60
56,58,63,71,78,84,85,86,82,74,65,58
51,53,60,70,75,82,84,84,80,72,62,56
56,58,64,72,79,86,87,86,84,77,67,60
51,52,58,69,77,84,86,86,82,71,64,56
61,61,64,70,77,83,85,85,83,77,70,65
51,53,60,68,76,83,85,85,82,74,63,55